;file;tag
0;word/1/1.jpg;self
1;word/1/2.jpg;adhesive
2;word/1/3.jpg;address
3;word/1/4.jpg;labels
4;word/1/5.jpg;36
5;word/1/6.jpg;89m
6;word/1/7.jpg;cls
7;word/1/8.jpg;250
8;word/1/9.jpg;on
9;word/1/10.jpg;a
10;word/1/11.jpg;roll
11;word/1/12.jpg;Natwest
12;word/1/13.jpg;GREEK
13;word/1/14.jpg;GASTRONOMY
14;word/1/15.jpg;COOKERY
15;word/1/16.jpg;WINES
16;word/1/17.jpg;LOCAL
17;word/1/18.jpg;TOUBRS
18;word/1/19.jpg;SPECIALTIES
19;word/1/20.jpg;FESTIVE
20;word/1/21.jpg;RECIPES
21;word/1/22.jpg;ILLUSTRATED
22;word/1/23.jpg;83
23;word/1/24.jpg;73
24;word/1/25.jpg;The
25;word/1/26.jpg;HOUSE
26;word/1/27.jpg;of
27;word/1/28.jpg;the
28;word/1/29.jpg;SPIRITS
29;word/1/30.jpg;ISABEL
30;word/1/31.jpg;ALLENDE
31;word/1/32.jpg;Intensely
32;word/1/33.jpg;moving
33;word/1/34.jpg;Both
34;word/1/35.jpg;entertaining
35;word/1/36.jpg;and
36;word/1/37.jpg;deeply
37;word/1/38.jpg;serious
38;word/1/39.jpg;Evening
39;word/1/40.jpg;Standard
40;word/1/41.jpg;DIGItaL
41;word/1/42.jpg;muLtImeDIa
42;word/1/43.jpg;WILEY
43;word/1/44.jpg;Nigel
44;word/1/45.jpg;Chapman
45;word/1/46.jpg;and
46;word/1/47.jpg;Jenny
47;word/1/48.jpg;Chapman
48;word/1/49.jpg;Software
49;word/1/50.jpg;Design
50;word/1/51.jpg;for
51;word/1/52.jpg;Real-time
52;word/1/53.jpg;Systems
53;word/1/54.jpg;J
54;word/1/55.jpg;E
55;word/1/56.jpg;COOLING
56;word/1/57.jpg;Nokia
57;word/1/58.jpg;adapter
58;word/1/59.jpg;Cable
59;word/1/60.jpg;DLR
60;word/1/61.jpg;3P
61;word/1/62.jpg;A4382
62;word/1/63.jpg;Nokia
63;word/1/64.jpg;6210
64;word/1/65.jpg;DLR
65;word/1/66.jpg;3P
66;word/1/67.jpg;Data
67;word/1/68.jpg;Cable
68;word/1/69.jpg;Professional
69;word/1/70.jpg;Issues
70;word/1/71.jpg;in
71;word/1/72.jpg;Software
72;word/1/73.jpg;Engineering
73;word/1/74.jpg;frank
74;word/1/75.jpg;bott
75;word/1/76.jpg;allison
76;word/1/77.jpg;coleman
77;word/1/78.jpg;jack
78;word/1/79.jpg;eaton
79;word/1/80.jpg;diane
80;word/1/81.jpg;rowland
81;word/1/82.jpg;THIRD
82;word/1/83.jpg;EDITION
83;word/1/84.jpg;SILBERSCHATZ
84;word/1/85.jpg;GALVIN
85;word/1/86.jpg;OPERATING
86;word/1/87.jpg;SYSTEM
87;word/1/88.jpg;CONCEPTS
88;word/1/89.jpg;Fifth
89;word/1/90.jpg;Edition
90;word/1/91.jpg;SYSTEMS
91;word/1/92.jpg;SERIES
92;word/1/93.jpg;Systems
93;word/1/94.jpg;Analysis
94;word/1/95.jpg;Design
95;word/1/96.jpg;stems
96;word/1/97.jpg;ID
97;word/1/98.jpg;MASON
98;word/1/99.jpg;LESLIE
99;word/1/100.jpg;WILLCOCKS
100;word/2/101.jpg;BUSINESS
101;word/2/102.jpg;STRATEGY
102;word/2/103.jpg;IT
103;word/2/104.jpg;STRATEGY
104;word/2/105.jpg;iNFORMATION
105;word/2/106.jpg;under
106;word/2/107.jpg;wear
107;word/2/108.jpg;S
108;word/2/109.jpg;ALAN
109;word/2/110.jpg;CLEMENTS
110;word/2/111.jpg;T
111;word/2/112.jpg;rinciples
112;word/2/113.jpg;of
113;word/2/114.jpg;omputer
114;word/2/115.jpg;Hardware
115;word/2/116.jpg;SECOND
116;word/2/117.jpg;EDITION
117;word/2/118.jpg;Software
118;word/2/119.jpg;Engineering
119;word/2/120.jpg;Ian
120;word/2/121.jpg;Sommerville
121;word/2/122.jpg;vaio
122;word/2/123.jpg;go
123;word/2/124.jpg;create
124;word/2/125.jpg;SONY
125;word/2/126.jpg;conditions
126;word/2/127.jpg;Handle
127;word/2/128.jpg;with
128;word/2/129.jpg;care
129;word/2/130.jpg;pleaes
130;word/2/131.jpg;return
131;word/2/132.jpg;to
132;word/2/133.jpg;Future
133;word/2/134.jpg;Publishing
134;word/2/135.jpg;Ltd
135;word/2/136.jpg;Somerton
136;word/2/137.jpg;TA11
137;word/2/138.jpg;6TB
138;word/2/139.jpg;United
139;word/2/140.jpg;Kingdom
140;word/2/141.jpg;HSBC
141;word/2/142.jpg;EDITION
142;word/2/143.jpg;SYSTEMS
143;word/2/144.jpg;DATABASE
144;word/2/145.jpg;AN
145;word/2/146.jpg;INTRODUCTION
146;word/2/147.jpg;TO
147;word/2/148.jpg;C.J.
148;word/2/149.jpg;DATE
149;word/2/150.jpg;SIXTH
150;word/2/151.jpg;STUART
151;word/2/152.jpg;RUSSELL
